,0
34,코로나 이후 화상회의를 많이 사용하고 있습니다. 그러나 뭔가 아쉬움이 있습니다. 특히 연령대가... 단정하기 어려움 ■ 가상환경에서의 아이디어 생성을 개선하려면? 영상을 끄는 것이 아이디어 생성에... 
35,차후의 아이디어회의를 거부하게 될 수 있어 이에 대한 보완이 필요하다고 생각된다. 일반적으로... 위의 이야기에서 선택과 관련하여 알 수 있는 것은 선택지가 너무 많으면 선택에 어려움을 느낀다는 것과... 
36,재확인에도 어려움이 없을 것 같습니다. 다만 어떤 앱을 사용하느냐에 따라 녹음 기능의 사용이 어려울... 예를 들어 화면 왼쪽에는 아이디어 회의를 진행하면서 오른쪽에 관련 파일이나 웹페이지를 열어두고... 
37,사회성의 어려움을 보일 수 있어요 사회성의 기본이 되는 사회인지!! 흔히 접할 수 있는 일상생활... 월 아이디어 회의를 시작으로 년 월 일러스트 및 원고작업과 년 월 스케치수정까지 늘 함께... 
38,"&lt; 제차관 주재 주택공급 ｢TF 검토회의｣ 주요 논의사항 &gt; ㅇ (제차, .) 택지, 도심복합, 정비 등 사업 유형별 주요 문제점 논의 * 택지발굴의 어려움, 주민 갈등, 과도한 절차, 사업지연 요인 등 ㅇ (제차, .)... "
39,이처럼 잦은 회의와 발표에 대한 어려움으로 리더의 자리에 부담을 느끼는 직장인 및 리더들이... 사전에 아무런 정보 없이 회의에 소집된 직원은 생각을 정리하거나 아이디어를 준비할 시간도 없이 불려 나온... 
40,조원들과 아이디어 회의를 바탕으로 제품을 만들어 나갔지만 생각한 대로 제품이 만들어지지 않아 어려움도 겪었다고 해요. 하지만 포기하지 않고 주변 지인과 교수님의 조언으로 제품을 성공적으로 만들어... 
41,최근 전 세계적인 고물가·고금리 파장에 민생부담과 어려움이 가중되고 있습니다. 마트나 식당... 실질적 대안 마련과 제도적 방안 마련에 최선을 다하겠습니다. 많은 분들의 지혜와 정책적 아이디어를 구합니다.
42,문제 해결 중심의 생산적 회의 ㅁ 어려움을 공유하고 그 문제를 해결하기 위해 서로의 아이디어를 더하는데 집중하며 그 문제를 실패의 잠재적 원인으로 바라보기보다는 학습의 대상으로 인식합니다. ㅁ... 
43,반짝이는 아이디어도 서로 나누고 업무의 생산성을 높일 수 있는 가장 중요한 공간! 바로 회의가... 구성해 회의테이블을 주문제작 해드립니다 사이즈 선택에 어려움이 있으실 경우엔 상담 시 의자 사이즈를... 
44,"현실적으로 어려움이 있기에, 시의 홍보작업과 시민단체의 공동활동도 절실하였기 때문이었다. 비록... 아이디어가 차곡차곡 현실화되는 과정을 밟아나가기를 기대해본다. 옹달샘팀은 자주 모여서 회의하다보... "
45,디자인씽킹에서도 회의의 어려움이나 위험성을 충분히 인식하고 있다. 때문에 성공적인 브레인스토밍을 위한 독자적인 규칙과 비결이 존재한다. 그 가운데 몇 가지 중요한 규칙을 소개한다. () 아이디어는... 
46,전략 아이디어를 나누는 공모전으로  백신 아이디어 공모전은 코로나로 인해 어려움을 겪고 있는... 되었고 아이디어 회의는 꼭 팀원 회의를 통해 해서 개선해야겠다고 생각했어요! . 떨어진 ppt 완성도... 
47,"구성원들이 전문성을 갖출만한 시간적 여력이 부족하다거나, 세대 간 차이로 인한 소통 방식의 어려움... 수평적인 회의를 위한 아이디어에는 ‘의견을 낼 때마다 칭찬과 박수를 보내기’, ‘그라운드룰을... "
48,있는 아이디어를 모아보자고 했다. 지금까지의 회의가 결과 위주의 서로 잘잘못을 따지는 식이었다면... 끌어올리는 회의가 될 것 같았다. 각자 자신이 업무상 겪고 있는 어려움을 ~분 정도 간단설명하고... 
49,청년봉기 단원들은 아이디어 회의에 대해 처음엔 어려움이 있었지만 포스트잇을 나누어주고 포스트잇에 자신의 생각을 짧게라도 적어 화이트보드에 붙여보는 시간을 통해 서로의 아이디어를 공유할 수... 
50,그리고 아이디어 회의를 자주 하는 사람이라도 빈 페이지에서 만들어가는 것보다 이미 만들어진... UXUI도 굉장히 직관적이라 이러한 프로그램을 처음 사용하는 사람들도 조금만 사용해 보면 어려움 없이... 
51,"출처 : 픽사베이 수헌 : 저는 아이디어 회의가 가장 어려웠던 것 같아요.. 아마, 다른 팀들도 같은 어려움이 있지 않을까 해요. 저희는 빠르게 mvp를 출시하고 사용자 피드백에 따라 기능을 순차적으로 추가하면서... "
52,회화에 어려움이 없다면 회의에도 문제가 없겠지만 그렇치 못한 경우도 있겠죠?... 어디 아이디어 없나요? ▶ The floor 발언권 I'd like to propose that Alice go to Germany. 앨리스가... 
53,줌이랑 비슷해서 줌을 써봤다면 크게 어려움없이 적응할 수 있다. 웨일온 시작하기 - 모바일 모바일에서... 보수교육이나 단체강의에서는 저작권 등을 보호하기에는 좋지만 팀회의 등 아이디어가 순식간에... 
54,① 누군가가 새로 떠오른 과제로 어려움은 겪는다. ② 곤란한 과제가 어떤 일이고 어떻게 이용되는지... 아이디어 회의에 전문가만 참여시키는 경우 진짜로 쓸만하고 감탄할 정도의 아이디어는 전문가가 아닌... 
55,의견이 활발하게 나와 기록자가 의견을 받아 적는데 어려움이 있다면 회의의 속도를 조정하여 참여자들의 아이디어를 놓치지 않도록 해야 합니다. 이러한 분위기를 위해서는 참가자들 모두의 노력이... 
56,"아이디어 회의나 제작 단계에서는 한글로 커뮤니케이션하고 문서화를 했고, 제출 전 기획안을... 영어 작문에 능숙하지 않아 어려움이 있었지만 주변 분들의 도움을 많이 받아 무사히 완성할 수 있었던 것... "
57,많은 어려움이 있을 겁니다. 이럴 때는 역시 '경험자'에게 도움을 요청하는 게 정말 좋은 방법인데요.... 그리고 각자의 아이디어를 포스트잇에 적습니다. 여기서 적용되는 방법이 How might we입니다. 어떻게... 
58,강원지역회의가 겪는 어려움과 이에 대한 활성화 방안은? 저희 강원지역회의가 겪는 가장 큰 어려움은... 좋은 취지와 아이디어로 시작했지만 정해진 예산 내 진행이 불가능해 다음 기회로 미뤘던 기억이... 
59,방학 중에 각자 본교보다 우리학교를 더 많이 왔다고 투덜투덜:-) 여대라서 남학생들의 출입에 어려움이 따르기도 했지만 무사히 스터디를 마칠 수 있었다. 맨처음에 아이디어 회의하겠다고 별에별 아이디어가... 
60,어떠한 모임이든간에 많은 사람이 모여야 활력이 생기고 좋은 아이디어도 발굴 되는 등 서로 정보... 등 어려움이 지속될 것으로 보이고 있어 파주시의회는 좀더 기업하기 좋은 환경을 만드는데 늘 함께 하겠다... 
61,"기절했음, 정말 요즘에 학교에 늦게까지 있는 일이 많아지다 보니까 통학에 어려움을 겪는다. 오고 가는 게 너무 힘들다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ엉엉,, 쨌든! 그렇게 하루가 끝났다. #창동회의, #대회준비... "
62,"차 미션인 만원의 행복 회의를 위해 부산대 컴포즈 커피에 모였습니다 각자 먹을 음료를 주문한 뒤, 만원의 행복 아이디어 회의 시작!! 발대식 때 회의를 틈날 때마다 진행했던지라 어려움 없이 착착... "
63,"대한 어려움이 있었던 것 같다. 모바일이다 보니 싸이클이 더 빨랐어야 했던 점도 야근 시간을 늘려준... 갈등 등에 대해 보고하고 피드백을 받는다. 이외 콘텐츠 릴리즈 회의, 기획 회의, 아이디어 회의"
64,"여행 + 독서 조합은 늘 저를 아이디어 뱅크로 만들어줍니다. 아름다운 여수 바다를 바라보니, 마음이 탁- 트이면서 지난 주간 힘들었던 일들이 감정적으로 정리가 되는 것을 느낄 수 있었어요. 어려움이... "
65,"보통 회의라고 하면 다수의 인원이 함께 하기에, 모두의 의견을 수렴하고 아이디어를 모으는데 큰 어려움이 있죠? 저 역시 단체의 장을 맡으며 느낀점은 개인마다 이해관계와 생각이 다르고, 원하는... "
66,"세명이 한자리에 모이기도 어려움이 있었구요. 중간고사 기간인데다 모두 학년이어서 취업준비에도... 학회의 같은 조에 편성되어 있던 사람들과 팀을 구성하였고, 아이디어 회의를 지속적으로 하다 주제... "
67,"회의(경제부총리 주재)에 보고하고 주요 과제를 논의했다고 일 밝혔다. □ 동 안건은 차 산업혁명 이후 창의적인 혁신 아이디어의 중요성이 부각됨에 따라, 코로나  등으로 인한 경제적 어려움을 창의형... "
68,그와중에도 새로운 회의 아이디어를 찾아 내서 기획해야 한다..다 영어로... LNG LPG 이것도 모르고 들어와 공부한다고 된다는게 아니라는걸 깨달았다. 경험은 살수도 쉽게 만들수도 없다. 그와중에도 계속 자신을... 
69,오늘은 중부대학교의 대학과 지역사회의 상생 아이디어 JB지역사랑프로젝트에 대한 소식을... 인해 어려움을 겪고 있는 지역아동센터의 돌봄 문제를 비대면온라인 봉 사 프로그램으로 극복할 수 있도록... 
70,"대한 아이디어를 나누는 자리 서로 경쟁보다는 상생을 꿈꾸는 자리 실현 가능한 조언과 아이디어를... (건축은 그 단계를 놓치고, 후에 수정하면 매우 어려움이 많아요..제 경험ㅜㅜ ) 인테리어 공사를 또 할... "
71,사실 저희가 스터디 공유회 전 회의에서 키워드를 찾기 위해 브레인스토밍하는 과정에서 등장한... 그린 사이클 캠페인 참여 독려의 어려움 두 가지 아이디어 모두 '재활용'에 초점을 맞춘 환경 CSR 기획... 
72,위한 아이디어 회의를 했습니다. 발표까지의 준비시간은 일주일로 길지만은 않아서 매일같이... 때문에 어려움을 겪는 것으로 나오죠. 그래서 기술을 이용해 청각장애인의 발음교정을 개선 할 수 있을까?... 
73,"한편, 이 자리에서 지난 월 한 달 동안 공모전 제도개선 사례 건과 기관⋅국민의 아이디어 건 중... 특히, 코로나 상황에서 어려움이 가중될 것으로 예상되는 취약계층의 목소리를 전하고, 이를 위한... "
74,저희 부산 팀 '또바기'는 월 아이디어 회의를 하기 위해 덕천동 마비스 커피 카페를... 스케줄 맞추는데 어려움이 ㅠ.ㅠ 우선 어찌어찌 하다보니 일정도 맞추고 아이디어도 다... 
75,사회창안클럽 우수 아이디어 숙성회의 열띤 토론 시민 아이디어 현실화 위해 예산 수립중 제회... 조성은 어려움이 있고 이용객들 수요가 많지 않을 걸로 판단됨. 천만원 예산수립하여 우선 소규모 시설을... 
76,"전략에 대한 논의가 없는 전략회의, 아이디어가 공유되지 않는 아이디어 회의, 의견은 없고 보고와... 프로젝트를 진행했던 절차, 진행과정에서의 어려움과 극복 과정을 기술하였기 때문에 유사한 활동을 하고자... "
77,"성인 뿐 아니라, 학생들도 소통에서 어려움을 겪는 경험이 많은 까닭이겠죠? 퍼실리테이션은 집단이... 학급회의 아이디어 브레인 스토밍 온라인 퍼실리테이션이 좁혀준 소통의 거리 쉬는 시간 없이 시간... "
78,번째 회의입니다 벌써 차미션 최종안 제출도 얼마 남지 않았네요 하지만 계속 제자리걸음 ... 과연 잘... 얼른 빨리 저희 팀 아이디어를 공개하고 싶네요!! 저희가 봉착한 어려움들을 전부다 세세하게 낱낱히... 
79,그런데 사실 회원들이 많아지면 관리하는 데도 어려움이 있을텐데 동아리 운영에 어려운 점은 없나요?... 혼자서 하는 작업이 아니기 때문에 팀원들끼리 모여 자료조사한 걸 취합한 후에 아이디어 회의를... 
80,✔️작가님과의 미팅 ✔️미팅 이후 아이디어 재정립 ✔️다음 주 회의 방향성 정리 주차에는... 궁금증과 어려움들을 해소시킬 수 있는 뜻깊은 시간이었습니다! 사업권역의 문제점들 중 하나인 통행의... 
81,- 지역경제 활성화 위한 부서별 아이디어 회의 가져 안성시(시장 황은성)는 일 시청 대회의실에서... 좋은 아이디어들을 낼 때 메르스로 인한 경기침체 등 시민의 어려움은 더 빨리 극복할 수 있을 것이라는... 
82,좋은 아이디어 같쥬? . 육수보관문제 쌀국수를 만들때 육수를 직접 뽑으려하는데 대량으로 끓은 육수를... 큰 어려움이 없겠죠? . 빈 공간활용 방안 입구로 들어가자마자 오른쪽에 큰 공간이 있는데 메인홀과... 
83,"던져보면서 회의를 하다 보면, 생각에 생각이 입혀지고 고쳐져서 또 다른 아이디어가 나옵니다. 우스갯소리로 말했던 것들을 보완해가며 생각을 완성해 가기도 합니다. 의견 충돌이나 갈등 등으로 인해 어려움... "
84,"해서 어려움이 조금 있었다. 권나라: 보통 시에 카페에 가면 마감까지 그곳에 있었다. 그래서 눈치가... 전과하게 된 계기는 광고란 것의 표현이 너무 신기했다, 이렇게 같이 찍고 모여서 아이디어 회의하고 또... "
85,"스럽다) ▣회의, 보고 관련 대 낭비 수정 - 준비가 부족한 회의 - 회의 결과를 수정 - 결과가 미흡하여... 업무개선 아이디어 제안(실습) - 지방의회 운영방식의 업무개선 (진행중) 시사점 및 강의소감... "
86,하지만 경력과 노하우가 상대적으로 부족하다면 당연히 서류작성부터 준비까지 어려움이 많을 수 밖에... 아니라 아이디어 발굴회의 지원서비스까지 제공해드리고 있습니다. 모든 과정은 변리사가 직접 검토를... 
87,주민보다 지역 문제를 보는 민감함이 아무래도 떨어지는 관 입장에서도 정책 아이디어나 해결책을... 협치강동구회의) 적지 않은 어려움 속에서 민관협치의 기반을 마련한 제기 협치강동구회의의 뒤를 이어... 
88,위원들은 서대문구의 주민참여사업과 위원회에 참여하며 겪은 어려움과 문제점을 이야기하면서... 이날 문석진 서대문구청장은 인 협치분과위원 원탁회의에 참석해 아이디어의 구체적 실현방법을 고민하는... 
89,-해결: 계속 아이디어 회의. 지나가던 옆 팀 디자이너가 뭘 고민하나 묻더니 툭 던지는 한 마디. “아기가 훌라후프를 하면 안 돼요?” “바로 그거야!” 당첨! -광고주 만족. 촬영은 어려움. 말도 못 알아듣는... 
90,"권보람님 아이디어 . 면접, 졸업 시즌에 복장 선택의 어려움 해결책 아직 정장을 구매하지 않은 대 초반의 취업준비생, 졸업생들을 타겟으로 코디를 제안하고 상품 판 매로 연계한다 여기서 좀더... "
91,"기획 회의 요즘 많은 프로젝트 가운데, 한정판 패키지 디자인 기획을 진행하고 있습니다. 많은 어려움... 그렇게 내내 아이디어 회의를 하고.. 다음 단계를 준비 중입니다 ! 기대해주세요!"
92,발표하는 아이디어 실현회의가 지난 일 오후 전북도청에서 열렸습니다. 여건 이상 접수된... 재래시장 마케팅 전담요원 이번 발표는 사람들의 무관심으로 인해 많은 어려움을 겪고 있는 재래시장을... 
93,교민들의 어려움이 커졌다. 이런 상황에서도 동남아북부협의회(회장 심재신)는 본국을 위한 성금을... 호주 정부의 제재가 완화될 때까지 외부 활동이 어려운 상황에서 온라인 회의를 통해 참신한 아이디어를... 
94,"[SIMTOS , 공구관 참가업체 아이디어 회의 개최 바로가기] [SIMTOS , 공구관 전시위원회 제차 회의... 현장에서 어려움을 느끼고 있다고 응답하였다. 최신 가공기술 소개와 현장애로기술 노하우 정보교류를... "
95,"화상회의를 통한 미팅과 수업이 많아지고, 그로 인해 어려움도 많았어요! 각종 장비 세팅에 비디오와... 메모나 아이디어 회의때 효율적이에요 특히 고객과 미팅을 하는 회의에서 사용하기 좋은... "
96,"세대들의 아이디어가 많아서 심사에 어려움을 겪었다는 후문이다. 예선 과정에서의 평가는 소비자의... 아이디어 회의 하는 모습, 같이 고민하고 힘들어하는 모습.. 이런 과정이 꿈이 있는  세대들이... "
97,"톡톡 튀는 아이디어로 앞서가고, 새로운 도전과 프로그램의 출연자 캐릭터들까지 완벽히 조화를... 처음 계획과 다르게 시작된 퇴사 후 첫 도전은 어려움에 처하지만 의외의 결과를 이끌게 되는데 바로... "
98,"안녕하세요~ 오늘은 대통령 직속 경제자문 기구인 국민경제자문회의가 제 회 국민경제 아이디어... 공모 주제는 결혼, 보육 등의 분야에서 청년층의 어려움을 해결해 줄 수 있는 정책 아이디어... "
99,&lt;&gt; 첫번째 월 꿀단지 아이디어 토론에 이어 월 두번째 토론주제는 바로.. 명절이면 급등하는 농산물... 대해 어려움을 겪었는데요! 따라서 이번 월에는 역대급 폭염으로 지난달 농산물 생산자물가지수는 년... 
100,유휴공간 아이디어 등을 함께 이야기하는 자리였습니다. 해당 회의에서 행복한여행나눔의 입장이... 취지는 주민이 자발적으로 지역에 도움이 되는 사업을 하는 것 같지만 한 번 참관해보니 어려움이... 
101,"▶...목요일 차 팀 프로젝트와 마찬가지로 기획안 작성을 위해 아이디어 회의를 진행했습니다!... 그리고 저도 추가 아이디어를 내면서 완성해갔습니다 ㅎㅎ 다시 편집하는 어려움이 있었지만, 결국... "
102,점점 비대면 문화가 일상 속에 뿌리내리면서 고령층 등 디지털 취약계층의 어려움이 커지고 있다는... 좋은 아이디어는 바로 실행해야겠죠? ㈜한국공학기술연구원에서 시민연구반의 아이디어를 이어받아... 
103,"▲ 활발히 회의를 진행 중인 참가팀들 ⓒ김상훈, ⓒ예술경영 지원센터 이들은 평창문화올림픽을... 최우수상팀인 ‘언박스(Unox)’는 아이디어 기획 문제로 어려움을 겪으며 일차에는 살벌한 분위기를... "
104,차회의와 마지막 회의는 어느 정도 정해져 있는데 중간회의는 담당 퍼실리테이터가 회의의 산출물을... 되기 어려움이 발생합니다. 시간이 짧다는 것도 한 이유가 됩니다. 만약 진행하는 퍼실리테이터가 전체... 
105,"정기적인 회의가 자리를 잡기까지는 많은 어려움도 있었다는 거...다들 알고 계시죠??? (그 어려운 걸... - 정보 전달, 진척도 확인 - 창의적 기획, 아이디어 수집 - 갈등과 이해관계 조정 - 문제해결 - 의사결정 정보... "
106,"산책에 어려움을 가지고 있어서, 동물과 사람이 상생하는 법을 알고 싶어서 등 다양한 원탁회의 참석... 각 조별로 나온 다양한 아이디어가 점차 정책의 모습을 갖춰갈 수 있었습니다~ 어떻게 정책으로 실현시킬... "
107,"따라서 다양한 사례들을 함께 분석하고 회의하며 아이디어들을 적립하고, 실제 자조모임 참여자들을... 아이디업, 활동 계획  문제 정의부터 시작할 겁니다. 치매 환자들의 일상을 살펴보며 그들의 어려움을... "
108,시작할 때부터 셋이서 회의실 잡아가지고 아이디어 회의하고 정말 말도 안되는거도 괜찮으니... 어떠한 어려움이 발생하면 일단 우리 동기 단톡방에서부터 먼저 물어봤다. 꽤 많은 문제들을 수월하게 해결할... 
109,".회의에서 나온 의견들을 비판하거나 반론하지 않아야 자유롭게 발언을 하도록 하기. .사고의 틀을... 등록은 했지만, 상품화의 어려움으로 아이디어가 특허 문헌으로만 잠들어 있는 것입니다. 특허 문헌 속에... "
110,"저는 개인적으로 게임형으로 관광콘텐츠를 만든 아이디어가 좋은 것 같습니다! 게임+관광 즐거움이... 운영하기에는 어려움이 있을 것 같다는 의견이었습니다. 하지만, 여행상품말고 관광홍보영상으로 이... "
111,"각 팀이나 조직별로 당연히 업무 성향이나 스타일이 다르다 보니 처음에는 어려움도 있었습니다만... 그 외에도 화 촬영 전날, 저녁에 제작진들과 모여서 진행했던 아이디어 회의를 꼽을 수 있겠네요.촬영 전... "
112,"MB 교육부(부총리 겸 교육부장관 유은혜)는 월 일(화), 정부세종청사에서제차 사회관계장관회의를 개최한다. 코로나로 인해 일상생활이 제한되고 비대면 수업이 지속되면서 심리·정서적으로 어려움... "
113,"저랑 유난히 잘 맞는 공간이라 그럴 수도 있지만 사무실을 구하고 난 뒤로는 이전보다는 어려움이 덜... 회의실에는 시원시원한 크기의 TV, 화이트보드판, 빔프로젝터가 설치되어 있어서 아이디어 회의나... "
114,"또한, .(목)에 열린 ‘다문화가족 참여회의*’에 참석한 결혼이민자들은 한국 학교생활에 대한 정보와 경험이 없어 자녀의 학교생활 지원에 어려움을 겪고 있다는 고민과 함께, 청소년기 자녀에게... "
115,"현장 작업자 분들 대부분은 블로그 작성에 매우 어려움을 토로합니다. 포토샵, 일러스트, 네이버... 디자인 공부를 하고 첫 직장에 입사를 한 후 매번 아이디어 회의 때 욕만 먹고 이놈의 머릿속엔 똥만 찼나... "
116,"톡톡 튀는 아이디어로 세상을 바꾸기 위해 등장한 OO 스타트업들이 날개를 펴보기도 전에 움츠러들고... 차 회의에서는... 다양한 서비스를 제공하는 OO분야에 규제, 안전, 이해관계등의 어려움을 겪는... "
